x;Scheme;Truncation Error;Analytical Solution
T= 0
0;300;0;300
0.05;100;0.0813912;100.081
0.1;100;0.0412029;100.041
0.15;100;0.0280455;100.028
0.2;100;0.0216616;100.022
0.25;100;0.0180063;100.018
0.3;100;0.0157381;100.016
0.35;100;0.0142899;100.014
0.4;100;0.0133876;100.013
0.45;100;0.0128911;100.013
0.5;100;0.0127324;100.013
0.55;100;0.0128911;100.013
0.6;100;0.0133876;100.013
0.65;100;0.0142899;100.014
0.7;100;0.0157381;100.016
0.75;100;0.0180063;100.018
0.8;100;0.0216616;100.022
0.85;100;0.0280455;100.028
0.9;100;0.0412029;100.041
0.95;100;0.0813912;100.081
1;300;1.55694e-010;300
L1;0.0240934
L2;0.00699224
T= 0.1
0;300;0;300
0.05;244.562;0.172644;244.735
0.1;195.768;0.132332;195.9
0.15;157.903;0.133658;157.769
0.2;131.908;0.448542;131.46
0.25;116.045;0.625234;115.42
0.3;107.387;0.607633;106.779
0.35;103.131;0.464542;102.667
0.4;101.239;0.299474;100.94
0.45;100.495;0.182756;100.313
0.5;100.305;0.142079;100.163
0.55;100.495;0.182756;100.313
0.6;101.239;0.299474;100.94
0.65;103.131;0.464542;102.667
0.7;107.387;0.607633;106.779
0.75;116.045;0.625234;115.42
0.8;131.908;0.448542;131.46
0.85;157.903;0.133658;157.769
0.9;195.768;0.132332;195.9
0.95;244.562;0.172644;244.735
1;300;5.68434e-014;300
L1;0.298843
L2;0.0789812
T= 0.2
0;300;0;300
0.05;260.437;0.0808921;260.518
0.1;223.303;0.113863;223.416
0.15;190.581;0.0742244;190.655
0.2;163.504;0.0296673;163.475
0.25;142.46;0.164497;142.295
0.3;127.107;0.291306;126.816
0.35;116.638;0.383788;116.254
0.4;110.076;0.43605;109.64
0.45;106.54;0.457969;106.082
0.5;105.431;0.463244;104.968
0.55;106.54;0.457969;106.082
0.6;110.076;0.43605;109.64
0.65;116.638;0.383788;116.254
0.7;127.107;0.291306;126.816
0.75;142.46;0.164497;142.295
0.8;163.504;0.0296673;163.475
0.85;190.581;0.0742244;190.655
0.9;223.303;0.113863;223.416
0.95;260.437;0.0808921;260.518
1;300;5.68434e-014;300
L1;0.215608
L2;0.0599426
T= 0.3
0;300;0;300
0.05;267.627;0.0419798;267.669
0.1;236.601;0.0637764;236.665
0.15;208.11;0.0514145;208.162
0.2;183.06;0.00102158;183.061
0.25;162.008;0.0808224;161.927
0.3;145.168;0.179944;144.988
0.35;132.48;0.279074;132.201
0.4;123.717;0.362098;123.355
0.45;118.604;0.416784;118.187
0.5;116.927;0.435812;116.491
0.55;118.604;0.416784;118.187
0.6;123.717;0.362098;123.355
0.65;132.48;0.279074;132.201
0.7;145.168;0.179944;144.988
0.75;162.008;0.0808224;161.927
0.8;183.06;0.00102158;183.061
0.85;208.11;0.0514145;208.162
0.9;236.601;0.0637764;236.665
0.95;267.627;0.0419798;267.669
1;300;0;300
L1;0.161412
L2;0.0487977
T= 0.4
0;300;0;300
0.05;272.035;0.0173447;272.052
0.1;244.983;0.0240803;245.007
0.15;219.686;0.0122685;219.698
0.2;196.853;0.0213906;196.831
0.25;177.027;0.0747729;176.952
0.3;160.575;0.140855;160.434
0.35;147.705;0.209321;147.496
0.4;138.507;0.268788;138.239
0.45;132.997;0.30912;132.688
0.5;131.163;0.323384;130.84
0.55;132.997;0.30912;132.688
0.6;138.507;0.268788;138.239
0.65;147.705;0.209321;147.496
0.7;160.575;0.140855;160.434
0.75;177.027;0.0747729;176.952
0.8;196.853;0.0213906;196.831
0.85;219.686;0.0122685;219.698
0.9;244.983;0.0240803;245.007
0.95;272.035;0.0173447;272.052
1;300;0;300
L1;0.11806
L2;0.0363172
T= 0.5
0;300;0;300
0.05;275.224;0.00270644;275.226
0.1;251.151;0.000147767;251.15
0.15;228.447;0.0127668;228.434
0.2;207.708;0.036954;207.671
0.25;189.436;0.0716158;189.365
0.3;174.033;0.112919;173.92
0.35;161.794;0.155057;161.639
0.4;152.926;0.191444;152.735
0.45;147.559;0.216081;147.343
0.5;145.762;0.224792;145.538
0.55;147.559;0.216081;147.343
0.6;152.926;0.191444;152.735
0.65;161.794;0.155057;161.639
0.7;174.033;0.112919;173.92
0.75;189.436;0.0716158;189.365
0.8;207.708;0.036954;207.671
0.85;228.447;0.0127668;228.434
0.9;251.151;0.000147767;251.15
0.95;275.224;0.00270644;275.226
1;300;0;300
L1;0.0868655
L2;0.026261
