x;Scheme;Truncation Error;Analytical Solution
T= 0
0;300;0;300
0.05;100;0.0813912;100.081
0.1;100;0.0412029;100.041
0.15;100;0.0280455;100.028
0.2;100;0.0216616;100.022
0.25;100;0.0180063;100.018
0.3;100;0.0157381;100.016
0.35;100;0.0142899;100.014
0.4;100;0.0133876;100.013
0.45;100;0.0128911;100.013
0.5;100;0.0127324;100.013
0.55;100;0.0128911;100.013
0.6;100;0.0133876;100.013
0.65;100;0.0142899;100.014
0.7;100;0.0157381;100.016
0.75;100;0.0180063;100.018
0.8;100;0.0216616;100.022
0.85;100;0.0280455;100.028
0.9;100;0.0412029;100.041
0.95;100;0.0813912;100.081
1;300;1.55751e-10;300
L1;0.0240934
L2;0.00699224
T= 0.1
0;300;0;300
0.05;245.01;0.275308;244.735
0.1;199.439;3.53911;195.9
0.15;157.816;0.0466664;157.769
0.2;134.415;2.95481;131.46
0.25;114.834;0.586262;115.42
0.3;107.679;0.899682;106.779
0.35;102.165;0.50128;102.667
0.4;100.981;0.0411622;100.94
0.45;100.135;0.17734;100.313
0.5;100.108;0.0545185;100.163
0.55;100.135;0.17734;100.313
0.6;100.981;0.0411622;100.94
0.65;102.165;0.50128;102.667
0.7;107.679;0.899682;106.779
0.75;114.834;0.586262;115.42
0.8;134.415;2.95481;131.46
0.85;157.816;0.0466664;157.769
0.9;199.439;3.53911;195.9
0.95;245.01;0.275308;244.735
1;300;5.68434e-14;300
L1;0.861797
L2;0.321372
T= 0.2
0;300;0;300
0.05;260.614;0.0963033;260.518
0.1;224.903;1.48709;223.416
0.15;190.771;0.1162;190.655
0.2;165.379;1.90467;163.475
0.25;142.178;0.117562;142.295
0.3;128.141;1.32464;126.816
0.35;115.896;0.358155;116.254
0.4;110.214;0.574381;109.64
0.45;105.628;0.45416;106.082
0.5;105.237;0.269248;104.968
0.55;105.628;0.45416;106.082
0.6;110.214;0.574381;109.64
0.65;115.896;0.358155;116.254
0.7;128.141;1.32464;126.816
0.75;142.178;0.117562;142.295
0.8;165.379;1.90467;163.475
0.85;190.771;0.1162;190.655
0.9;224.903;1.48709;223.416
0.95;260.614;0.0963033;260.518
1;300;5.68434e-14;300
L1;0.625503
L2;0.194379
T= 0.3
0;300;0;300
0.05;267.715;0.0467906;267.669
0.1;237.52;0.855108;236.665
0.15;208.228;0.0665737;208.162
0.2;184.331;1.26965;183.061
0.25;161.869;0.0574091;161.927
0.3;146.156;1.16811;144.988
0.35;131.946;0.254659;132.201
0.4;124.204;0.848419;123.355
0.45;117.792;0.395791;118.187
0.5;117.179;0.687817;116.491
0.55;117.792;0.395791;118.187
0.6;124.204;0.848419;123.355
0.65;131.946;0.254659;132.201
0.7;146.156;1.16811;144.988
0.75;161.869;0.0574091;161.927
0.8;184.331;1.26965;183.061
0.85;208.228;0.0665737;208.162
0.9;237.52;0.855108;236.665
0.95;267.715;0.0467906;267.669
1;300;0;300
L1;0.505373
L2;0.149002
T= 0.4
0;300;0;300
0.05;272.072;0.0193256;272.052
0.1;245.581;0.574339;245.007
0.15;219.717;0.0193515;219.698
0.2;197.765;0.933636;196.831
0.25;176.891;0.0609776;176.952
0.3;161.451;1.01757;160.434
0.35;147.306;0.189385;147.496
0.4;139.183;0.944436;138.239
0.45;132.402;0.285786;132.688
0.5;131.732;0.89256;130.84
0.55;132.402;0.285786;132.688
0.6;139.183;0.944436;138.239
0.65;147.306;0.189385;147.496
0.7;161.451;1.01757;160.434
0.75;176.891;0.0609776;176.952
0.8;197.765;0.933636;196.831
0.85;219.717;0.0193515;219.698
0.9;245.581;0.574339;245.007
0.95;272.072;0.0193256;272.052
1;300;0;300
L1;0.427722
L2;0.128647
T= 0.5
0;300;0;300
0.05;275.23;0.00387678;275.226
0.1;251.583;0.432543;251.15
0.15;228.426;0.00820766;228.434
0.2;208.421;0.750291;207.671
0.25;189.303;0.0616736;189.365
0.3;174.829;0.90968;173.92
0.35;161.5;0.139087;161.639
0.4;153.687;0.952655;152.735
0.45;147.147;0.196098;147.343
0.5;146.493;0.954857;145.538
0.55;147.147;0.196098;147.343
0.6;153.687;0.952655;152.735
0.65;161.5;0.139087;161.639
0.7;174.829;0.90968;173.92
0.75;189.303;0.0616736;189.365
0.8;208.421;0.750291;207.671
0.85;228.426;0.00820766;228.434
0.9;251.583;0.432543;251.15
0.95;275.23;0.00387678;275.226
1;300;0;300
L1;0.374432
L2;0.116694
