x;Scheme;Truncation Error;Analytical Solution
T= 0
0;300;0;300
0.05;100;0.0813912;100.081
0.1;100;0.0412029;100.041
0.15;100;0.0280455;100.028
0.2;100;0.0216616;100.022
0.25;100;0.0180063;100.018
0.3;100;0.0157381;100.016
0.35;100;0.0142899;100.014
0.4;100;0.0133876;100.013
0.45;100;0.0128911;100.013
0.5;100;0.0127324;100.013
0.55;100;0.0128911;100.013
0.6;100;0.0133876;100.013
0.65;100;0.0142899;100.014
0.7;100;0.0157381;100.016
0.75;100;0.0180063;100.018
0.8;100;0.0216616;100.022
0.85;100;0.0280455;100.028
0.9;100;0.0412029;100.041
0.95;100;0.0813912;100.081
1;300;1.55751e-10;300
T= 0.1
0;300;0;300
0.05;221.933;22.802;244.735
0.1;174.349;21.5514;195.9
0.15;145.352;12.4172;157.769
0.2;127.693;3.76722;131.46
0.25;116.957;1.53675;115.42
0.3;110.46;3.68093;106.779
0.35;106.578;3.91184;102.667
0.4;104.341;3.40132;100.94
0.45;103.19;2.87684;100.313
0.5;102.835;2.67234;100.163
0.55;103.19;2.87684;100.313
0.6;104.341;3.40132;100.94
0.65;106.578;3.91184;102.667
0.7;110.46;3.68093;106.779
0.75;116.957;1.53675;115.42
0.8;127.693;3.76722;131.46
0.85;145.352;12.4172;157.769
0.9;174.349;21.5514;195.9
0.95;221.933;22.802;244.735
1;300;5.68434e-14;300
T= 0.2
0;300;0;300
0.05;251.548;8.96986;260.518
0.1;210.5;12.9166;223.416
0.15;178.489;12.1658;190.655
0.2;154.763;8.71135;163.475
0.25;137.805;4.49013;142.295
0.3;126.059;0.756963;126.816
0.35;118.213;1.95805;116.254
0.4;113.275;3.63461;109.64
0.45;110.57;4.48835;106.082
0.5;109.711;4.74288;104.968
0.55;110.57;4.48835;106.082
0.6;113.275;3.63461;109.64
0.65;118.213;1.95805;116.254
0.7;126.059;0.756963;126.816
0.75;137.805;4.49013;142.295
0.8;154.763;8.71135;163.475
0.85;178.489;12.1658;190.655
0.9;210.5;12.9166;223.416
0.95;251.548;8.96986;260.518
1;300;5.68434e-14;300
T= 0.3
0;300;0;300
0.05;263.069;4.59989;267.669
0.1;229.018;7.64674;236.665
0.15;199.596;8.56543;208.162
0.2;175.452;7.60957;183.061
0.25;156.479;5.44773;161.927
0.3;142.175;2.81285;144.988
0.35;131.899;0.30159;132.201
0.4;125.046;1.69068;123.355
0.45;121.135;2.94779;118.187
0.5;119.866;3.37511;116.491
0.55;121.135;2.94779;118.187
0.6;125.046;1.69068;123.355
0.65;131.899;0.30159;132.201
0.7;142.175;2.81285;144.988
0.75;156.479;5.44773;161.927
0.8;175.452;7.60957;183.061
0.85;199.596;8.56543;208.162
0.9;229.018;7.64674;236.665
0.95;263.069;4.59989;267.669
1;300;0;300
T= 0.4
0;300;0;300
0.05;269.302;2.75076;272.052
0.1;240.161;4.84595;245.007
0.15;213.807;5.89114;219.698
0.2;191.005;5.82633;196.831
0.25;172.091;4.8606;176.952
0.3;157.081;3.35297;160.434
0.35;145.797;1.6992;147.496
0.4;137.987;0.251717;138.239
0.45;133.412;0.724188;132.688
0.5;131.907;1.06738;130.84
0.55;133.412;0.724188;132.688
0.6;137.987;0.251717;138.239
0.65;145.797;1.6992;147.496
0.7;157.081;3.35297;160.434
0.75;172.091;4.8606;176.952
0.8;191.005;5.82633;196.831
0.85;213.807;5.89114;219.698
0.9;240.161;4.84595;245.007
0.95;269.302;2.75076;272.052
1;300;0;300
T= 0.5
0;300;0;300
0.05;273.412;1.8146;275.226
0.1;247.851;3.29955;251.15
0.15;224.212;4.22148;228.434
0.2;203.175;4.49523;207.671
0.25;185.181;4.18366;189.365
0.3;170.459;3.46045;173.92
0.35;159.082;2.55673;161.639
0.4;151.026;1.7082;152.735
0.45;146.23;1.11234;147.343
0.5;144.639;0.898726;145.538
0.55;146.23;1.11234;147.343
0.6;151.026;1.7082;152.735
0.65;159.082;2.55673;161.639
0.7;170.459;3.46045;173.92
0.75;185.181;4.18366;189.365
0.8;203.175;4.49523;207.671
0.85;224.212;4.22148;228.434
0.9;247.851;3.29955;251.15
0.95;273.412;1.8146;275.226
1;300;0;300
L1;478.692
L2;67.0075
