x;Scheme;Truncation Error;Analytical Solution
T= 0
0;100;200;300
0.05;100;0.0813912;100.081
0.1;100;0.0412029;100.041
0.15;100;0.0280455;100.028
0.2;100;0.0216616;100.022
0.25;100;0.0180063;100.018
0.3;100;0.0157381;100.016
0.35;100;0.0142899;100.014
0.4;100;0.0133876;100.013
0.45;100;0.0128911;100.013
0.5;100;0.0127324;100.013
0.55;100;0.0128911;100.013
0.6;100;0.0133876;100.013
0.65;100;0.0142899;100.014
0.7;100;0.0157381;100.016
0.75;100;0.0180063;100.018
0.8;100;0.0216616;100.022
0.85;100;0.0280455;100.028
0.9;100;0.0412029;100.041
0.95;100;0.0813912;100.081
1;100;200;300
L1;19.0717
L2;13.4687
T= 0.1
0;300;0;300
0.05;245.01;0.275308;244.735
0.1;191.545;4.35551;195.9
0.15;157.816;0.0466664;157.769
0.2;126.775;4.68514;131.46
0.25;114.834;0.586262;115.42
0.3;104.396;2.38308;106.779
0.35;102.165;0.50128;102.667
0.4;100.304;0.635477;100.94
0.45;100.135;0.17734;100.313
0.5;100;0.162781;100.163
0.55;100.135;0.17734;100.313
0.6;100.304;0.635477;100.94
0.65;102.165;0.50128;102.667
0.7;104.396;2.38308;106.779
0.75;114.834;0.586262;115.42
0.8;126.775;4.68514;131.46
0.85;157.816;0.0466664;157.769
0.9;191.545;4.35551;195.9
0.95;245.01;0.275308;244.735
1;300;5.68434e-14;300
L1;1.30738
L2;0.465214
T= 0.2
0;300;0;300
0.05;260.614;0.0963033;260.518
0.1;221.746;1.67022;223.416
0.15;190.771;0.1162;190.655
0.2;160.999;2.47582;163.475
0.25;142.178;0.117562;142.295
0.3;124.555;2.26115;126.816
0.35;115.896;0.358155;116.254
0.4;108.024;1.61575;109.64
0.45;105.628;0.45416;106.082
0.5;103.675;1.29297;104.968
0.55;105.628;0.45416;106.082
0.6;108.024;1.61575;109.64
0.65;115.896;0.358155;116.254
0.7;124.555;2.26115;126.816
0.75;142.178;0.117562;142.295
0.8;160.999;2.47582;163.475
0.85;190.771;0.1162;190.655
0.9;221.746;1.67022;223.416
0.95;260.614;0.0963033;260.518
1;300;5.68434e-14;300
L1;0.934458
L2;0.28452
T= 0.3
0;300;0;300
0.05;267.715;0.0467906;267.669
0.1;235.711;0.953882;236.665
0.15;208.228;0.0665737;208.162
0.2;181.459;1.60222;183.061
0.25;161.869;0.0574091;161.927
0.3;143.147;1.84044;144.988
0.35;131.946;0.254659;132.201
0.4;121.542;1.813;123.355
0.45;117.792;0.395791;118.187
0.5;114.726;1.76462;116.491
0.55;117.792;0.395791;118.187
0.6;121.542;1.813;123.355
0.65;131.946;0.254659;132.201
0.7;143.147;1.84044;144.988
0.75;161.869;0.0574091;161.927
0.8;181.459;1.60222;183.061
0.85;208.228;0.0665737;208.162
0.9;235.711;0.953882;236.665
0.95;267.715;0.0467906;267.669
1;300;0;300
L1;0.753626
L2;0.232696
T= 0.4
0;300;0;300
0.05;272.072;0.0193256;272.052
0.1;244.33;0.677343;245.007
0.15;219.717;0.0193515;219.698
0.2;195.608;1.22332;196.831
0.25;176.891;0.0609776;176.952
0.3;158.862;1.57215;160.434
0.35;147.306;0.189385;147.496
0.4;136.498;1.74113;138.239
0.45;132.402;0.285786;132.688
0.5;129.052;1.78753;130.84
0.55;132.402;0.285786;132.688
0.6;136.498;1.74113;138.239
0.65;147.306;0.189385;147.496
0.7;158.862;1.57215;160.434
0.75;176.891;0.0609776;176.952
0.8;195.608;1.22332;196.831
0.85;219.717;0.0193515;219.698
0.9;244.33;0.677343;245.007
0.95;272.072;0.0193256;272.052
1;300;0;300
L1;0.636432
L2;0.20402
T= 0.5
0;300;0;300
0.05;275.23;0.00387678;275.226
0.1;250.603;0.547405;251.15
0.15;228.426;0.00820766;228.434
0.2;206.647;1.02347;207.671
0.25;189.303;0.0616736;189.365
0.3;172.541;1.37835;173.92
0.35;161.5;0.139087;161.639
0.4;151.143;1.59138;152.735
0.45;147.147;0.196098;147.343
0.5;143.876;1.66162;145.538
0.55;147.147;0.196098;147.343
0.6;151.143;1.59138;152.735
0.65;161.5;0.139087;161.639
0.7;172.541;1.37835;173.92
0.75;189.303;0.0616736;189.365
0.8;206.647;1.02347;207.671
0.85;228.426;0.00820766;228.434
0.9;250.603;0.547405;251.15
0.95;275.23;0.00387678;275.226
1;300;0;300
L1;0.550511
L2;0.180973
