x;Scheme;Error;Analytical
T= 0.1
0;300;0;300
0.05;100;-144.735;244.735
0.1;100;-95.9;195.9
0.15;100;-57.7689;157.769
0.2;100;-31.4598;131.46
0.25;100;-15.42;115.42
0.3;100;-6.77912;106.779
0.35;100;-2.66653;102.667
0.4;100;-0.939965;100.94
0.45;100;-0.312668;100.313
0.5;100;-0.162781;100.163
0.55;100;-0.312668;100.313
0.6;100;-0.939965;100.94
0.65;100;-2.66653;102.667
0.7;100;-6.77912;106.779
0.75;100;-15.42;115.42
0.8;100;-31.4598;131.46
0.85;100;-57.7689;157.769
0.9;100;-95.9;195.9
0.95;100;-144.735;244.735
1;300;5.68434e-14;300
T= 0.2
0;300;0;300
0.05;245.01;-15.5078;260.518
0.1;200.316;-23.1001;223.416
0.15;157.816;-32.8397;190.655
0.2;135.264;-28.2112;163.475
0.25;114.834;-27.4615;142.295
0.3;108.044;-18.7724;126.816
0.35;102.165;-14.0892;116.254
0.4;101.056;-8.5837;109.64
0.45;100.135;-5.94637;106.082
0.5;100.12;-4.84744;104.968
0.55;100.135;-5.94637;106.082
0.6;101.056;-8.5837;109.64
0.65;102.165;-14.0892;116.254
0.7;108.044;-18.7724;126.816
0.75;114.834;-27.4615;142.295
0.8;135.264;-28.2112;163.475
0.85;157.816;-32.8397;190.655
0.9;200.316;-23.1001;223.416
0.95;245.01;-15.5078;260.518
1;300;5.68434e-14;300
T= 0.3
0;300;0;300
0.05;260.614;-7.05455;267.669
0.1;225.254;-11.4103;236.665
0.15;190.771;-17.3904;208.162
0.2;165.866;-17.195;183.061
0.25;142.178;-19.749;161.927
0.3;128.539;-16.4486;144.988
0.35;115.896;-16.3047;132.201
0.4;110.458;-12.8975;123.355
0.45;105.628;-12.5599;118.187
0.5;105.411;-11.0802;116.491
0.55;105.628;-12.5599;118.187
0.6;110.458;-12.8975;123.355
0.65;115.896;-16.3047;132.201
0.7;128.539;-16.4486;144.988
0.75;142.178;-19.749;161.927
0.8;165.866;-17.195;183.061
0.85;190.771;-17.3904;208.162
0.9;225.254;-11.4103;236.665
0.95;260.614;-7.05455;267.669
1;300;0;300
T= 0.4
0;300;0;300
0.05;267.715;-4.33678;272.052
0.1;237.721;-7.28646;245.007
0.15;208.228;-11.4695;219.698
0.2;184.65;-12.1812;196.831
0.25;161.869;-15.0825;176.952
0.3;146.49;-13.9437;160.434
0.35;131.946;-15.5495;147.496
0.4;124.499;-13.7393;138.239
0.45;117.792;-14.8966;132.688
0.5;117.451;-13.3889;130.84
0.55;117.792;-14.8966;132.688
0.6;124.499;-13.7393;138.239
0.65;131.946;-15.5495;147.496
0.7;146.49;-13.9437;160.434
0.75;161.869;-15.0825;176.952
0.8;184.65;-12.1812;196.831
0.85;208.228;-11.4695;219.698
0.9;237.721;-7.28646;245.007
0.95;267.715;-4.33678;272.052
1;300;0;300
T= 0.5
0;300;0;300
0.05;272.072;-3.15466;275.226
0.1;245.721;-5.42983;251.15
0.15;219.717;-8.71671;228.434
0.2;198.004;-9.66624;207.671
0.25;176.891;-12.474;189.365
0.3;161.739;-12.1808;173.92
0.35;147.306;-14.3324;161.639
0.4;139.481;-13.2531;152.735
0.45;132.402;-14.9403;147.343
0.5;132.03;-13.5074;145.538
0.55;132.402;-14.9403;147.343
0.6;139.481;-13.2531;152.735
0.65;147.306;-14.3324;161.639
0.7;161.739;-12.1808;173.92
0.75;176.891;-12.474;189.365
0.8;198.004;-9.66624;207.671
0.85;219.717;-8.71671;228.434
0.9;245.721;-5.42983;251.15
0.95;272.072;-3.15466;275.226
1;300;0;300
