x;0;0.001;0.002;0.003;0.004;0.005;0.006;0.007;0.008;0.009;0.01;0.011;0.012;0.013;0.014;0.015;0.016;0.017;0.018;0.019;0.02;0.021;0.022;0.023;0.024;0.025;0.026;0.027;0.028;0.029;0.03;0.031;0.032;0.033;0.034;0.035;0.036;0.037;0.038;0.039;
t = 0 n = 0 ;300;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;300;
t = 0.01 n = 1 ;300;180;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;180;300;
t = 0.02 n = 2 ;300;188.889;135.556;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;135.556;188.889;300;
t = 0.03 n = 3 ;300;213.58;139.506;115.802;100;100;100;100;100;100;100;100;100;100;100;100;100;115.802;139.506;213.58;300;
t = 0.04 n = 4 ;300;216.324;161.454;117.558;107.023;100;100;100;100;100;100;100;100;100;100;100;107.023;117.558;161.454;216.324;300;
t = 0.05 n = 5 ;300;228.822;163.893;132.19;107.804;103.121;100;100;100;100;100;100;100;100;100;103.121;107.804;132.19;163.893;228.822;300;
t = 0.06 n = 6 ;300;230.211;178.389;133.816;116.474;103.468;101.387;100;100;100;100;100;100;100;101.387;103.468;116.474;133.816;178.389;230.211;300;
t = 0.07 n = 7 ;300;238.042;180;145.738;117.438;108.285;101.541;100.617;100;100;100;100;100;100.617;101.541;108.285;117.438;145.738;180;238.042;300;
t = 0.08 n = 8 ;300;238.912;190.39;147.063;125.841;108.821;104.111;100.685;100.274;100;100;100;100.274;100.685;104.111;108.821;125.841;147.063;190.39;238.912;300;
t = 0.09 n = 9 ;300;244.4;191.545;156.74;126.775;114.232;104.396;102.017;100.304;100.122;100;100.122;100.304;102.017;104.396;114.232;126.775;156.74;191.545;244.4;300;
t = 0.1 n = 10 ;300;245.01;199.439;157.816;134.415;114.834;107.679;102.165;100.981;100.135;100.108;100.135;100.981;102.165;107.679;114.834;134.415;157.816;199.439;245.01;300;
t = 0.11 n = 11 ;300;249.129;200.316;165.795;135.264;120.29;108.044;104.073;101.056;100.498;100.12;100.498;101.056;104.073;108.044;120.29;135.264;165.795;200.316;249.129;300;
t = 0.12 n = 12 ;300;249.586;206.57;166.682;142.084;120.896;111.681;104.285;102.14;100.538;100.454;100.538;102.14;104.285;111.681;120.896;142.084;166.682;206.57;249.586;300;
