x;Scheme;Truncation Error;Analytical Solution
T= 0
0;300;0;300
0.05;100;0.0813912;100.081
0.1;100;0.0412029;100.041
0.15;100;0.0280455;100.028
0.2;100;0.0216616;100.022
0.25;100;0.0180063;100.018
0.3;100;0.0157381;100.016
0.35;100;0.0142899;100.014
0.4;100;0.0133876;100.013
0.45;100;0.0128911;100.013
0.5;100;0.0127324;100.013
0.55;100;0.0128911;100.013
0.6;100;0.0133876;100.013
0.65;100;0.0142899;100.014
0.7;100;0.0157381;100.016
0.75;100;0.0180063;100.018
0.8;100;0.0216616;100.022
0.85;100;0.0280455;100.028
0.9;100;0.0412029;100.041
0.95;100;0.0813912;100.081
1;300;1.55751e-10;300
L1;0.0240934
L2;0.00699224
T= 0.1
0;300;0;300
0.05;239.179;5.55545;244.735
0.1;189.092;6.80812;195.9
0.15;153.316;4.45288;157.769
0.2;130.239;1.22052;131.46
0.25;116.431;1.01141;115.42
0.3;108.633;1.85391;106.779
0.35;104.436;1.76927;102.667
0.4;102.29;1.35034;100.94
0.45;101.3;0.987215;100.313
0.5;101.015;0.852009;100.163
0.55;101.3;0.987215;100.313
0.6;102.29;1.35034;100.94
0.65;104.436;1.76927;102.667
0.7;108.633;1.85391;106.779
0.75;116.431;1.01141;115.42
0.8;130.239;1.22052;131.46
0.85;153.316;4.45288;157.769
0.9;189.092;6.80812;195.9
0.95;239.179;5.55545;244.735
1;300;5.68434e-14;300
L1;2.42239
L2;0.703998
T= 0.2
0;300;0;300
0.05;258.524;1.99339;260.518
0.1;220.161;3.25501;223.416
0.15;187.212;3.44317;190.655
0.2;160.774;2.70067;163.475
0.25;140.831;1.4644;142.295
0.3;126.624;0.191974;126.816
0.35;117.075;0.820586;116.254
0.4;111.118;1.47755;109.64
0.45;107.9;1.81877;106.082
0.5;106.889;1.9208;104.968
0.55;107.9;1.81877;106.082
0.6;111.118;1.47755;109.64
0.65;117.075;0.820586;116.254
0.7;126.624;0.191974;126.816
0.75;140.831;1.4644;142.295
0.8;160.774;2.70067;163.475
0.85;187.212;3.44317;190.655
0.9;220.161;3.25501;223.416
0.95;258.524;1.99339;260.518
1;300;5.68434e-14;300
L1;1.72628
L2;0.44624
T= 0.3
0;300;0;300
0.05;266.623;1.04606;267.669
0.1;234.834;1.83086;236.665
0.15;205.983;2.17852;208.162
0.2;181.015;2.04602;183.061
0.25;160.409;1.51734;161.927
0.3;144.23;0.757328;144.988
0.35;132.248;0.0472787;132.201
0.4;124.09;0.734357;123.355
0.45;119.377;1.18931;118.187
0.5;117.838;1.34773;116.491
0.55;119.377;1.18931;118.187
0.6;124.09;0.734357;123.355
0.65;132.248;0.0472787;132.201
0.7;144.23;0.757328;144.988
0.75;160.409;1.51734;161.927
0.8;181.015;2.04602;183.061
0.85;205.983;2.17852;208.162
0.9;234.834;1.83086;236.665
0.95;266.623;1.04606;267.669
1;300;0;300
L1;1.14485
L2;0.294457
T= 0.4
0;300;0;300
0.05;271.429;0.623201;272.052
0.1;243.886;1.12152;245.007
0.15;218.297;1.40124;219.698
0.2;195.41;1.42157;196.831
0.25;175.751;1.20106;176.952
0.3;159.625;0.808885;160.434
0.35;147.151;0.345211;147.496
0.4;138.321;0.082385;138.239
0.45;133.069;0.380739;132.688
0.5;131.327;0.487475;130.84
0.55;133.069;0.380739;132.688
0.6;138.321;0.082385;138.239
0.65;147.151;0.345211;147.496
0.7;159.625;0.808885;160.434
0.75;175.751;1.20106;176.952
0.8;195.41;1.42157;196.831
0.85;218.297;1.40124;219.698
0.9;243.886;1.12152;245.007
0.95;271.429;0.623201;272.052
1;300;0;300
L1;0.726624
L2;0.191865
T= 0.5
0;300;0;300
0.05;274.824;0.401817;275.226
0.1;250.412;0.738044;251.15
0.15;227.476;0.95752;228.434
0.2;206.636;1.0344;207.671
0.25;188.392;0.97295;189.365
0.3;173.114;0.805442;173.92
0.35;161.055;0.583977;161.639
0.4;152.366;0.368491;152.735
0.45;147.129;0.21368;147.343
0.5;145.38;0.157551;145.538
0.55;147.129;0.21368;147.343
0.6;152.366;0.368491;152.735
0.65;161.055;0.583977;161.639
0.7;173.114;0.805442;173.92
0.75;188.392;0.97295;189.365
0.8;206.636;1.0344;207.671
0.85;227.476;0.95752;228.434
0.9;250.412;0.738044;251.15
0.95;274.824;0.401817;275.226
1;300;0;300
L1;0.5862
L2;0.147899
