x;Scheme;Error;Analytical
T= 0.1
0;300;0;300
0.05;100;-144.735;244.735
0.1;100;-95.9;195.9
0.15;100;-57.7689;157.769
0.2;100;-31.4598;131.46
0.25;100;-15.42;115.42
0.3;100;-6.77912;106.779
0.35;100;-2.66653;102.667
0.4;100;-0.939965;100.94
0.45;100;-0.312668;100.313
0.5;100;-0.162781;100.163
0.55;100;-0.312668;100.313
0.6;100;-0.939965;100.94
0.65;100;-2.66653;102.667
0.7;100;-6.77912;106.779
0.75;100;-15.42;115.42
0.8;100;-31.4598;131.46
0.85;100;-57.7689;157.769
0.9;100;-95.9;195.9
0.95;100;-144.735;244.735
1;300;5.68434e-14;300
T= 0.2
0;300;0;300
0.05;-686890;-687150;260.518
0.1;973981;973758;223.416
0.15;-823399;-823590;190.655
0.2;492293;492129;163.475
0.25;-217929;-218071;142.295
0.3;72545;72418.2;126.816
0.35;-17734.9;-17851.1;116.254
0.4;3236.67;3127.03;109.64
0.45;-259.704;-365.785;106.082
0.5;142.95;37.9819;104.968
0.55;-259.704;-365.785;106.082
0.6;3236.67;3127.03;109.64
0.65;-17734.9;-17851.1;116.254
0.7;72545;72418.2;126.816
0.75;-217929;-218071;142.295
0.8;492293;492129;163.475
0.85;-823399;-823590;190.655
0.9;973981;973758;223.416
0.95;-686890;-687150;260.518
1;300;5.68434e-14;300
T= 0.3
0;300;0;300
0.05;-6.95974e+10;-6.95974e+10;267.669
0.1;1.1692e+11;1.1692e+11;236.665
0.15;-1.31143e+11;-1.31143e+11;208.162
0.2;1.16386e+11;1.16386e+11;183.061
0.25;-8.61717e+10;-8.61717e+10;161.927
0.3;5.44797e+10;5.44797e+10;144.988
0.35;-2.97857e+10;-2.97857e+10;132.201
0.4;1.42926e+10;1.42926e+10;123.355
0.45;-6.49311e+09;-6.49311e+09;118.187
0.5;4.20339e+09;4.20339e+09;116.491
0.55;-6.49311e+09;-6.49311e+09;118.187
0.6;1.42926e+10;1.42926e+10;123.355
0.65;-2.97857e+10;-2.97857e+10;132.201
0.7;5.44797e+10;5.44797e+10;144.988
0.75;-8.61717e+10;-8.61717e+10;161.927
0.8;1.16386e+11;1.16386e+11;183.061
0.85;-1.31143e+11;-1.31143e+11;208.162
0.9;1.1692e+11;1.1692e+11;236.665
0.95;-6.95974e+10;-6.95974e+10;267.669
1;300;0;300
T= 0.4
0;300;0;300
0.05;-1.03211e+16;-1.03211e+16;272.052
0.1;1.83675e+16;1.83675e+16;245.007
0.15;-2.26794e+16;-2.26794e+16;219.698
0.2;2.30298e+16;2.30298e+16;196.831
0.25;-2.0291e+16;-2.0291e+16;176.952
0.3;1.591e+16;1.591e+16;160.434
0.35;-1.13164e+16;-1.13164e+16;147.496
0.4;7.54193e+15;7.54193e+15;138.239
0.45;-5.14149e+15;-5.14149e+15;132.688
0.5;4.32642e+15;4.32642e+15;130.84
0.55;-5.14149e+15;-5.14149e+15;132.688
0.6;7.54193e+15;7.54193e+15;138.239
0.65;-1.13164e+16;-1.13164e+16;147.496
0.7;1.591e+16;1.591e+16;160.434
0.75;-2.0291e+16;-2.0291e+16;176.952
0.8;2.30298e+16;2.30298e+16;196.831
0.85;-2.26794e+16;-2.26794e+16;219.698
0.9;1.83675e+16;1.83675e+16;245.007
0.95;-1.03211e+16;-1.03211e+16;272.052
1;300;0;300
T= 0.5
0;300;0;300
0.05;-1.80416e+21;-1.80416e+21;275.226
0.1;3.30604e+21;3.30604e+21;251.15
0.15;-4.28731e+21;-4.28731e+21;228.434
0.2;4.66639e+21;4.66639e+21;207.671
0.25;-4.50391e+21;-4.50391e+21;189.365
0.3;3.96583e+21;3.96583e+21;173.92
0.35;-3.26495e+21;-3.26495e+21;161.639
0.4;2.60532e+21;2.60532e+21;152.735
0.45;-2.14523e+21;-2.14523e+21;147.343
0.5;1.9812e+21;1.9812e+21;145.538
0.55;-2.14523e+21;-2.14523e+21;147.343
0.6;2.60532e+21;2.60532e+21;152.735
0.65;-3.26495e+21;-3.26495e+21;161.639
0.7;3.96583e+21;3.96583e+21;173.92
0.75;-4.50391e+21;-4.50391e+21;189.365
0.8;4.66639e+21;4.66639e+21;207.671
0.85;-4.28731e+21;-4.28731e+21;228.434
0.9;3.30604e+21;3.30604e+21;251.15
0.95;-1.80416e+21;-1.80416e+21;275.226
1;300;0;300
