x;Scheme;Truncation Error;Analytical Solution
T= 0
0;100;200;300
0.05;100;0.0813912;100.081
0.1;100;0.0412029;100.041
0.15;100;0.0280455;100.028
0.2;100;0.0216616;100.022
0.25;100;0.0180063;100.018
0.3;100;0.0157381;100.016
0.35;100;0.0142899;100.014
0.4;100;0.0133876;100.013
0.45;100;0.0128911;100.013
0.5;100;0.0127324;100.013
0.55;100;0.0128911;100.013
0.6;100;0.0133876;100.013
0.65;100;0.0142899;100.014
0.7;100;0.0157381;100.016
0.75;100;0.0180063;100.018
0.8;100;0.0216616;100.022
0.85;100;0.0280455;100.028
0.9;100;0.0412029;100.041
0.95;100;0.0813912;100.081
1;100;200;300
L1;19.0717
L2;13.4687
T= 0.1
0;300;0;300
0.05;227214;226970;244.735
0.1;-309707;309903;195.9
0.15;246658;246500;157.769
0.2;-135012;135144;131.46
0.25;53506.6;53391.2;115.42
0.3;-15142.5;15249.3;106.779
0.35;3160.16;3057.5;102.667
0.4;-295.942;396.882;100.94
0.45;126.844;26.5309;100.313
0.5;100;0.162781;100.163
0.55;126.844;26.5309;100.313
0.6;-295.942;396.882;100.94
0.65;3160.16;3057.5;102.667
0.7;-15142.5;15249.3;106.779
0.75;53506.6;53391.2;115.42
0.8;-135012;135144;131.46
0.85;246658;246500;157.769
0.9;-309707;309903;195.9
0.95;227214;226970;244.735
1;300;5.68434e-14;300
L1;94346.4
L2;32273.9
T= 0.2
0;300;0;300
0.05;2.14708e+10;2.14708e+10;260.518
0.1;-3.57447e+10;3.57447e+10;223.416
0.15;3.94928e+10;3.94928e+10;190.655
0.2;-3.43163e+10;3.43163e+10;163.475
0.25;2.47253e+10;2.47253e+10;142.295
0.3;-1.5117e+10;1.5117e+10;126.816
0.35;7.93838e+09;7.93838e+09;116.254
0.4;-3.6261e+09;3.6261e+09;109.64
0.45;1.54506e+09;1.54506e+09;106.082
0.5;-9.51704e+08;9.51704e+08;104.968
0.55;1.54506e+09;1.54506e+09;106.082
0.6;-3.6261e+09;3.6261e+09;109.64
0.65;7.93838e+09;7.93838e+09;116.254
0.7;-1.5117e+10;1.5117e+10;126.816
0.75;2.47253e+10;2.47253e+10;142.295
0.8;-3.43163e+10;3.43163e+10;163.475
0.85;3.94928e+10;3.94928e+10;190.655
0.9;-3.57447e+10;3.57447e+10;223.416
0.95;2.14708e+10;2.14708e+10;260.518
1;300;5.68434e-14;300
L1;1.75669e+10
L2;4.94635e+09
T= 0.3
0;300;0;300
0.05;3.10902e+15;3.10902e+15;267.669
0.1;-5.51077e+15;5.51077e+15;236.665
0.15;6.75925e+15;6.75925e+15;208.162
0.2;-6.79962e+15;6.79962e+15;183.061
0.25;5.91851e+15;5.91851e+15;161.927
0.3;-4.57041e+15;4.57041e+15;144.988
0.35;3.18953e+15;3.18953e+15;132.201
0.4;-2.07528e+15;2.07528e+15;123.355
0.45;1.37643e+15;1.37643e+15;118.187
0.5;-1.14099e+15;1.14099e+15;116.491
0.55;1.37643e+15;1.37643e+15;118.187
0.6;-2.07528e+15;2.07528e+15;123.355
0.65;3.18953e+15;3.18953e+15;132.201
0.7;-4.57041e+15;4.57041e+15;144.988
0.75;5.91851e+15;5.91851e+15;161.927
0.8;-6.79962e+15;6.79962e+15;183.061
0.85;6.75925e+15;6.75925e+15;208.162
0.9;-5.51077e+15;5.51077e+15;236.665
0.95;3.10902e+15;3.10902e+15;267.669
1;300;0;300
L1;3.79803e+15
L2;9.63976e+14
T= 0.4
0;300;0;300
0.05;5.36875e+20;5.36875e+20;272.052
0.1;-9.8155e+20;9.8155e+20;245.007
0.15;1.26799e+21;1.26799e+21;219.698
0.2;-1.37253e+21;1.37253e+21;196.831
0.25;1.31509e+21;1.31509e+21;176.952
0.3;-1.14713e+21;1.14713e+21;160.434
0.35;9.33272e+20;9.33272e+20;147.496
0.4;-7.34299e+20;7.34299e+20;138.239
0.45;5.96469e+20;5.96469e+20;132.688
0.5;-5.47497e+20;5.47497e+20;130.84
0.55;5.96469e+20;5.96469e+20;132.688
0.6;-7.34299e+20;7.34299e+20;138.239
0.65;9.33272e+20;9.33272e+20;147.496
0.7;-1.14713e+21;1.14713e+21;160.434
0.75;1.31509e+21;1.31509e+21;176.952
0.8;-1.37253e+21;1.37253e+21;196.831
0.85;1.26799e+21;1.26799e+21;219.698
0.9;-9.8155e+20;9.8155e+20;245.007
0.95;5.36875e+20;5.36875e+20;272.052
1;300;0;300
L1;8.72282e+20
L2;2.09789e+20
T= 0.5
0;300;0;300
0.05;1.02324e+26;1.02324e+26;275.226
0.1;-1.90711e+26;1.90711e+26;251.15
0.15;2.54517e+26;2.54517e+26;228.434
0.2;-2.88683e+26;2.88683e+26;207.671
0.25;2.94426e+26;2.94426e+26;189.365
0.3;-2.783e+26;2.783e+26;173.92
0.35;2.50128e+26;2.50128e+26;161.639
0.4;-2.20524e+26;2.20524e+26;152.735
0.45;1.98664e+26;1.98664e+26;147.343
0.5;-1.90665e+26;1.90665e+26;145.538
0.55;1.98664e+26;1.98664e+26;147.343
0.6;-2.20524e+26;2.20524e+26;152.735
0.65;2.50128e+26;2.50128e+26;161.639
0.7;-2.783e+26;2.783e+26;173.92
0.75;2.94426e+26;2.94426e+26;189.365
0.8;-2.88683e+26;2.88683e+26;207.671
0.85;2.54517e+26;2.54517e+26;228.434
0.9;-1.90711e+26;1.90711e+26;251.15
0.95;1.02324e+26;1.02324e+26;275.226
1;300;0;300
L1;2.0701e+26
L2;4.89311e+25
