x;Scheme;Error;Analytical
T= 0.1
0;300;0;300
0.05;100;-144.735;244.735
0.1;100;-95.9;195.9
0.15;100;-57.7689;157.769
0.2;100;-31.4598;131.46
0.25;100;-15.42;115.42
0.3;100;-6.77912;106.779
0.35;100;-2.66653;102.667
0.4;100;-0.939965;100.94
0.45;100;-0.312668;100.313
0.5;100;-0.162781;100.163
0.55;100;-0.312668;100.313
0.6;100;-0.939965;100.94
0.65;100;-2.66653;102.667
0.7;100;-6.77912;106.779
0.75;100;-15.42;115.42
0.8;100;-31.4598;131.46
0.85;100;-57.7689;157.769
0.9;100;-95.9;195.9
0.95;100;-144.735;244.735
1;300;5.68434e-14;300
T= 0.2
0;300;0;300
0.05;244.562;-15.9558;260.518
0.1;195.768;-27.6487;223.416
0.15;157.903;-32.7527;190.655
0.2;131.908;-31.5664;163.475
0.25;116.045;-26.25;142.295
0.3;107.387;-19.4292;126.816
0.35;103.131;-13.1234;116.254
0.4;101.239;-8.40057;109.64
0.45;100.495;-5.58627;106.082
0.5;100.305;-4.66287;104.968
0.55;100.495;-5.58627;106.082
0.6;101.239;-8.40057;109.64
0.65;103.131;-13.1234;116.254
0.7;107.387;-19.4292;126.816
0.75;116.045;-26.25;142.295
0.8;131.908;-31.5664;163.475
0.85;157.903;-32.7527;190.655
0.9;195.768;-27.6487;223.416
0.95;244.562;-15.9558;260.518
1;300;5.68434e-14;300
T= 0.3
0;300;0;300
0.05;260.437;-7.23175;267.669
0.1;223.303;-13.3621;236.665
0.15;190.581;-17.5808;208.162
0.2;163.504;-19.5568;183.061
0.25;142.46;-19.4669;161.927
0.3;127.107;-17.8804;144.988
0.35;116.638;-15.5628;132.201
0.4;110.076;-13.2792;123.355
0.45;106.54;-11.6478;118.187
0.5;105.431;-11.0598;116.491
0.55;106.54;-11.6478;118.187
0.6;110.076;-13.2792;123.355
0.65;116.638;-15.5628;132.201
0.7;127.107;-17.8804;144.988
0.75;142.46;-19.4669;161.927
0.8;163.504;-19.5568;183.061
0.85;190.581;-17.5808;208.162
0.9;223.303;-13.3621;236.665
0.95;260.437;-7.23175;267.669
1;300;0;300
T= 0.4
0;300;0;300
0.05;267.627;-4.42555;272.052
0.1;236.601;-8.40634;245.007
0.15;208.11;-11.5875;219.698
0.2;183.06;-13.771;196.831
0.25;162.008;-14.9443;176.952
0.3;145.168;-15.2661;160.434
0.35;132.48;-15.0157;147.496
0.4;123.717;-14.5213;138.239
0.45;118.604;-14.084;132.688
0.5;116.927;-13.9134;130.84
0.55;118.604;-14.084;132.688
0.6;123.717;-14.5213;138.239
0.65;132.48;-15.0157;147.496
0.7;145.168;-15.2661;160.434
0.75;162.008;-14.9443;176.952
0.8;183.06;-13.771;196.831
0.85;208.11;-11.5875;219.698
0.9;236.601;-8.40634;245.007
0.95;267.627;-4.42555;272.052
1;300;0;300
T= 0.5
0;300;0;300
0.05;272.035;-3.19133;275.226
0.1;244.983;-6.16733;251.15
0.15;219.686;-8.74833;228.434
0.2;196.853;-10.8182;207.671
0.25;177.027;-12.3382;189.365
0.3;160.575;-13.3453;173.92
0.35;147.705;-13.9337;161.639
0.4;138.507;-14.2271;152.735
0.45;132.997;-14.3454;147.343
0.5;131.163;-14.3744;145.538
0.55;132.997;-14.3454;147.343
0.6;138.507;-14.2271;152.735
0.65;147.705;-13.9337;161.639
0.7;160.575;-13.3453;173.92
0.75;177.027;-12.3382;189.365
0.8;196.853;-10.8182;207.671
0.85;219.686;-8.74833;228.434
0.9;244.983;-6.16733;251.15
0.95;272.035;-3.19133;275.226
1;300;0;300
