x;Scheme;Error;Analytical
T= 0.1
0;300;0;300
0.05;100;-144.735;244.735
0.1;100;-95.9;195.9
0.15;100;-57.7689;157.769
0.2;100;-31.4598;131.46
0.25;100;-15.42;115.42
0.3;100;-6.77912;106.779
0.35;100;-2.66653;102.667
0.4;100;-0.939965;100.94
0.45;100;-0.312668;100.313
0.5;100;-0.162781;100.163
0.55;100;-0.312668;100.313
0.6;100;-0.939965;100.94
0.65;100;-2.66653;102.667
0.7;100;-6.77912;106.779
0.75;100;-15.42;115.42
0.8;100;-31.4598;131.46
0.85;100;-57.7689;157.769
0.9;100;-95.9;195.9
0.95;100;-144.735;244.735
1;300;5.68434e-14;300
T= 0.2
0;300;0;300
0.05;221.933;-38.5851;260.518
0.1;174.349;-49.0678;223.416
0.15;145.352;-45.3036;190.655
0.2;127.693;-35.7821;163.475
0.25;116.957;-25.3385;142.295
0.3;110.46;-16.3559;126.816
0.35;106.578;-9.6761;116.254
0.4;104.341;-5.29873;109.64
0.45;103.19;-2.89218;106.082
0.5;102.835;-2.13261;104.968
0.55;103.19;-2.89218;106.082
0.6;104.341;-5.29873;109.64
0.65;106.578;-9.6761;116.254
0.7;110.46;-16.3559;126.816
0.75;116.957;-25.3385;142.295
0.8;127.693;-35.7821;163.475
0.85;145.352;-45.3036;190.655
0.9;174.349;-49.0678;223.416
0.95;221.933;-38.5851;260.518
1;300;5.68434e-14;300
T= 0.3
0;300;0;300
0.05;251.548;-16.1207;267.669
0.1;210.5;-26.1648;236.665
0.15;178.489;-29.6724;208.162
0.2;154.763;-28.2978;183.061
0.25;137.805;-24.1216;161.927
0.3;126.059;-18.9286;144.988
0.35;118.213;-13.9885;132.201
0.4;113.275;-10.0806;123.355
0.45;110.57;-7.6174;118.187
0.5;109.711;-6.78012;116.491
0.55;110.57;-7.6174;118.187
0.6;113.275;-10.0806;123.355
0.65;118.213;-13.9885;132.201
0.7;126.059;-18.9286;144.988
0.75;137.805;-24.1216;161.927
0.8;154.763;-28.2978;183.061
0.85;178.489;-29.6724;208.162
0.9;210.5;-26.1648;236.665
0.95;251.548;-16.1207;267.669
1;300;0;300
T= 0.4
0;300;0;300
0.05;263.069;-8.98346;272.052
0.1;229.018;-15.9893;245.007
0.15;199.596;-20.1015;219.698
0.2;175.452;-21.3795;196.831
0.25;156.479;-20.4729;176.952
0.3;142.175;-18.2589;160.434
0.35;131.899;-15.5964;147.496
0.4;125.046;-13.1927;138.239
0.45;121.135;-11.553;132.688
0.5;119.866;-10.9741;130.84
0.55;121.135;-11.553;132.688
0.6;125.046;-13.1927;138.239
0.65;131.899;-15.5964;147.496
0.7;142.175;-18.2589;160.434
0.75;156.479;-20.4729;176.952
0.8;175.452;-21.3795;196.831
0.85;199.596;-20.1015;219.698
0.9;229.018;-15.9893;245.007
0.95;263.069;-8.98346;272.052
1;300;0;300
T= 0.5
0;300;0;300
0.05;269.302;-5.92474;275.226
0.1;240.161;-10.9892;251.15
0.15;213.807;-14.6272;228.434
0.2;191.005;-16.6659;207.671
0.25;172.091;-17.2736;189.365
0.3;157.081;-16.8391;173.92
0.35;145.797;-15.8422;161.639
0.4;137.987;-14.7476;152.735
0.45;133.412;-13.9303;147.343
0.5;131.907;-13.6304;145.538
0.55;133.412;-13.9303;147.343
0.6;137.987;-14.7476;152.735
0.65;145.797;-15.8422;161.639
0.7;157.081;-16.8391;173.92
0.75;172.091;-17.2736;189.365
0.8;191.005;-16.6659;207.671
0.85;213.807;-14.6272;228.434
0.9;240.161;-10.9892;251.15
0.95;269.302;-5.92474;275.226
1;300;0;300
